Code,Concepts,SubCategory,Six C (Categories),Occurences by Code
Analyse costs/benefits before rejuvenate,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,38
Company/Team decision-making,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,12
Recommendation to stick with LTS versions for complex systems,Decision-Making and Strategic Evaluation,Strategic Decision-Making for Rejuvenation,Contingencies,2
Incremental SCR effort,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,30
SCR requires careful planning,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,18
Manual SCR effort,Execution Strategy and Effort Management,Execution and Operational Strategies,Contingencies,13
Use code review to recommend adoption of modern features,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,12
Team cohesion,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,4
Prior knowledge reduces adoption effort,"Knowledge, Experience, and Team Dynamics",Human and Social Strategies,Contingencies,2
Reliance on static analysis to detect SCR opportunities,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,14
Using tooling to support and partially automate SCR,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,11
LLM-based support for source code rejuvenation,Selective and Human-Controlled Use of Tool Support,Tooling Support for Source Code Rejuvenation,Contingencies,11
Legacy constraint removal enabling SCR,Managing Technical Constraints and Compatibility,Handling Technical and System Constraints,Contingencies,2
Disabling warnings to keep systems compiling,Managing Technical Constraints and Compatibility,Handling Technical and System Constraints,Contingencies,1
